eng,ger,eng_input,ger_input,ger_target,eng_num_tokens,ger_num_tokens
tom's great-grandfather was born blind.,toms urgroßvater war von geburt an blind.,tom 's great - grandfather was born blind .,<sos> toms urgrovater war von geburt an blind .,toms urgrovater war von geburt an blind . <eos>,9,9
you're not the only one who doesn't believe tom.,"du bist nicht die einzige, die tom nicht glaubt.",you are not the only one who does not believe tom .,"<sos> du bist nicht die einzige , die tom nicht glaubt .","du bist nicht die einzige , die tom nicht glaubt . <eos>",12,12
tom is convinced mary is still alive.,"tom ist überzeugt, dass maria noch am leben ist.",tom is convinced mary is still alive .,"<sos> tom ist uberzeugt , dass maria noch am leben ist .","tom ist uberzeugt , dass maria noch am leben ist . <eos>",8,12
do you hate tom that much?,so sehr hasst du tom?,do you hate tom that much ?,<sos> so sehr hasst du tom ?,so sehr hasst du tom ? <eos>,7,7
"you don't give up, do you?","du gibst nicht auf, oder?","you do not give up , do you ?","<sos> du gibst nicht auf , oder ?","du gibst nicht auf , oder ? <eos>",9,8
he came in person.,er kam persönlich.,he came in person .,<sos> er kam personlich .,er kam personlich . <eos>,5,5
tom doesn't like modern art.,tom hat keinen gefallen an moderner kunst.,tom does not like modern art .,<sos> tom hat keinen gefallen an moderner kunst .,tom hat keinen gefallen an moderner kunst . <eos>,7,9
tom searched the glove compartment for a map.,tom durchsuchte das handschuhfach nach einer karte.,tom searched the glove compartment for a map .,<sos> tom durchsuchte das handschuhfach nach einer karte .,tom durchsuchte das handschuhfach nach einer karte . <eos>,9,9
tom was in boston for a while.,tom war eine zeitlang in boston.,tom was in boston for a while .,<sos> tom war eine zeitlang in boston .,tom war eine zeitlang in boston . <eos>,8,8
what's your favorite tongue twister?,welcher ist dein lieblingszungenbrecher?,what is your favorite tongue twister ?,<sos> welcher ist dein lieblingszungenbrecher ?,welcher ist dein lieblingszungenbrecher ? <eos>,7,6
she didn't want him to go out with other women.,"sie wollte nicht, dass er mit anderen frauen ausgeht.",she did not want him to go out with other women .,"<sos> sie wollte nicht , dass er mit anderen frauen ausgeht .","sie wollte nicht , dass er mit anderen frauen ausgeht . <eos>",12,12
business people exchange cards at the beginning or end of a meeting.,geschäftsleute tauschen am anfang oder am ende einer versammlung visitenkarten aus.,business people exchange cards at the beginning or end of a meeting .,<sos> geschaftsleute tauschen am anfang oder am ende einer versammlung visitenkarten aus .,geschaftsleute tauschen am anfang oder am ende einer versammlung visitenkarten aus . <eos>,13,13
it would be a mistake not to do what tom asked you to do.,"es wäre ein fehler, nicht zu tun, worum tom dich bat.",it would be a mistake not to do what tom asked you to do .,"<sos> es ware ein fehler , nicht zu tun , worum tom dich bat .","es ware ein fehler , nicht zu tun , worum tom dich bat . <eos>",15,15
the volcano may erupt at any moment.,der vulkan kann jederzeit ausbrechen.,the volcano may erupt at any moment .,<sos> der vulkan kann jederzeit ausbrechen .,der vulkan kann jederzeit ausbrechen . <eos>,8,7
maybe i should study french.,vielleicht sollte ich französisch lernen.,maybe i should study french .,<sos> vielleicht sollte ich franzosisch lernen .,vielleicht sollte ich franzosisch lernen . <eos>,6,7
my mother bakes bread and cookies on weekends.,meine mutter backt am wochenende immer brot und kekse.,my mother bakes bread and cookies on weekends .,<sos> meine mutter backt am wochenende immer brot und kekse .,meine mutter backt am wochenende immer brot und kekse . <eos>,9,11
i didn't have a chance.,ich hatte keine chance.,i did not have a chance .,<sos> ich hatte keine chance .,ich hatte keine chance . <eos>,7,6
tom said he knows mary's secret.,"tom sagte, dass er marys geheimnis kennt.",tom said he knows mary 's secret .,"<sos> tom sagte , dass er marys geheimnis kennt .","tom sagte , dass er marys geheimnis kennt . <eos>",8,10
tom probably did that last monday.,tom hat das wahrscheinlich letzten montag getan.,tom probably did that last monday .,<sos> tom hat das wahrscheinlich letzten montag getan .,tom hat das wahrscheinlich letzten montag getan . <eos>,7,9
why don't you give tennis a try?,warum versuchst du es nicht einmal mit tennis?,why do not you give tennis a try ?,<sos> warum versuchst du es nicht einmal mit tennis ?,warum versuchst du es nicht einmal mit tennis ? <eos>,9,10
i have no family.,ich habe keine familie.,i have no family .,<sos> ich habe keine familie .,ich habe keine familie . <eos>,5,6
tom disappeared in the crowd.,tom verschwand in der menge.,tom disappeared in the crowd .,<sos> tom verschwand in der menge .,tom verschwand in der menge . <eos>,6,7
seals eat fish.,robben ernähren sich von fisch.,seals eat fish .,<sos> robben ernahren sich von fisch .,robben ernahren sich von fisch . <eos>,4,7
i know a lot of french songs.,ich kenne viele französische lieder.,i know a lot of french songs .,<sos> ich kenne viele franzosische lieder .,ich kenne viele franzosische lieder . <eos>,8,7
it doesn't bother me that tom is going to be there with his new girlfriend.,"es stört mich nicht, dass tom mit seiner neuen freundin kommt.",it does not bother me that tom is going to be there with his new girlfriend .,"<sos> es stort mich nicht , dass tom mit seiner neuen freundin kommt .","es stort mich nicht , dass tom mit seiner neuen freundin kommt . <eos>",17,14
i lent her 500 dollars free of interest.,ich lieh ihr zinsfrei 500 dollar.,i lent her 500 dollars free of interest .,<sos> ich lieh ihr zinsfrei 500 dollar .,ich lieh ihr zinsfrei 500 dollar . <eos>,9,8
i read an exciting story.,ich lese eine spannende geschichte.,i read an exciting story .,<sos> ich lese eine spannende geschichte .,ich lese eine spannende geschichte . <eos>,6,7
what's your favorite cold weather food?,was isst du bei kaltem wetter am liebsten?,what is your favorite cold weather food ?,<sos> was isst du bei kaltem wetter am liebsten ?,was isst du bei kaltem wetter am liebsten ? <eos>,8,10
you're always busy.,sie sind immer beschäftigt.,you are always busy .,<sos> sie sind immer beschaftigt .,sie sind immer beschaftigt . <eos>,5,6
i treated him like my own son.,ich habe ihn wie meinen eigenen sohn behandelt.,i treated him like my own son .,<sos> ich habe ihn wie meinen eigenen sohn behandelt .,ich habe ihn wie meinen eigenen sohn behandelt . <eos>,8,10
that is a pure waste of time.,das ist reine zeitverschwendung.,that is a pure waste of time .,<sos> das ist reine zeitverschwendung .,das ist reine zeitverschwendung . <eos>,8,6
can i speak with tom?,kann ich mit tom sprechen?,can i speak with tom ?,<sos> kann ich mit tom sprechen ?,kann ich mit tom sprechen ? <eos>,6,7
is this legal?,ist das legal?,is this legal ?,<sos> ist das legal ?,ist das legal ? <eos>,4,5
tom has a son who is a dentist.,"tom hat einen sohn, der zahnarzt ist.",tom has a son who is a dentist .,"<sos> tom hat einen sohn , der zahnarzt ist .","tom hat einen sohn , der zahnarzt ist . <eos>",9,10
make yourselves comfortable.,macht es euch gemütlich.,make yourselves comfortable .,<sos> macht es euch gemutlich .,macht es euch gemutlich . <eos>,4,6
i hope you can come.,"ich hoffe, dass ihr kommen könnt.",i hope you can come .,"<sos> ich hoffe , dass ihr kommen konnt .","ich hoffe , dass ihr kommen konnt . <eos>",6,9
my opinion doesn't really matter.,meine meinung tut wirklich nichts zur sache.,my opinion does not really matter .,<sos> meine meinung tut wirklich nichts zur sache .,meine meinung tut wirklich nichts zur sache . <eos>,7,9
we just finished.,wir sind gerade fertig geworden.,we just finished .,<sos> wir sind gerade fertig geworden .,wir sind gerade fertig geworden . <eos>,4,7
the federal reserve slashed interest rates.,die zentralbank der vereinigten staaten hat den zinssatz gesenkt.,the federal reserve slashed interest rates .,<sos> die zentralbank der vereinigten staaten hat den zinssatz gesenkt .,die zentralbank der vereinigten staaten hat den zinssatz gesenkt . <eos>,7,11
when does tom want to do that?,wann möchte tom das machen?,when does tom want to do that ?,<sos> wann mochte tom das machen ?,wann mochte tom das machen ? <eos>,8,7
i'll meet you back on the ship.,wir sehen uns wieder auf dem schiff.,i will meet you back on the ship .,<sos> wir sehen uns wieder auf dem schiff .,wir sehen uns wieder auf dem schiff . <eos>,9,9
this store is in a prime location.,dieses geschäft hat eine erstklassige lage.,this store is in a prime location .,<sos> dieses geschaft hat eine erstklassige lage .,dieses geschaft hat eine erstklassige lage . <eos>,8,8
what do you expect from us?,was erwartest du von uns?,what do you expect from us ?,<sos> was erwartest du von uns ?,was erwartest du von uns ? <eos>,7,7
you don't follow the rules.,du hältst dich nicht an die regeln.,you do not follow the rules .,<sos> du haltst dich nicht an die regeln .,du haltst dich nicht an die regeln . <eos>,7,9
mary decorated the cake.,maria garnierte die torte.,mary decorated the cake .,<sos> maria garnierte die torte .,maria garnierte die torte . <eos>,5,6
tom will find out.,tom wird es herausbekommen.,tom will find out .,<sos> tom wird es herausbekommen .,tom wird es herausbekommen . <eos>,5,6
what's the point of writing something on the roof?,"welchen sinn hat es, etwas aufs dach zu schreiben?",what is the point of writing something on the roof ?,"<sos> welchen sinn hat es , etwas aufs dach zu schreiben ?","welchen sinn hat es , etwas aufs dach zu schreiben ? <eos>",11,12
those are your orders.,das sind deine anordnungen.,those are your orders .,<sos> das sind deine anordnungen .,das sind deine anordnungen . <eos>,5,6
don't leave valuables in your vehicle.,lassen sie keine wertsachen in ihrem fahrzeug.,do not leave valuables in your vehicle .,<sos> lassen sie keine wertsachen in ihrem fahrzeug .,lassen sie keine wertsachen in ihrem fahrzeug . <eos>,8,9
i thought tom had gotten over mary.,"ich dachte, tom wäre über maria hinweg.",i thought tom had gotten over mary .,"<sos> ich dachte , tom ware uber maria hinweg .","ich dachte , tom ware uber maria hinweg . <eos>",8,10
you're a month behind with your rent.,sie liegen mit ihrer miete einen monat zurück.,you are a month behind with your rent .,<sos> sie liegen mit ihrer miete einen monat zuruck .,sie liegen mit ihrer miete einen monat zuruck . <eos>,9,10
tom isn't a good cook.,tom ist kein guter koch.,tom is not a good cook .,<sos> tom ist kein guter koch .,tom ist kein guter koch . <eos>,7,7
she thinks that she's always right.,"sie denkt, dass sie immer recht hat.",she thinks that she is always right .,"<sos> sie denkt , dass sie immer recht hat .","sie denkt , dass sie immer recht hat . <eos>",8,10
"since she got her braces, i've hardly seen her smile.","seit sie eine spange trägt, habe ich sie kaum noch lächeln sehen.","since she got her braces , i have hardly seen her smile .","<sos> seit sie eine spange tragt , habe ich sie kaum noch lacheln sehen .","seit sie eine spange tragt , habe ich sie kaum noch lacheln sehen . <eos>",13,15
be prepared.,seid gewappnet!,be prepared .,<sos> seid gewappnet !,seid gewappnet ! <eos>,3,4
"no matter what happens, i won't be surprised.","egal was passiert, ich werde nicht überrascht sein.","no matter what happens , i will not be surprised .","<sos> egal was passiert , ich werde nicht uberrascht sein .","egal was passiert , ich werde nicht uberrascht sein . <eos>",11,11
it seems those two are made for each other.,die beiden scheinen wie füreinander gemacht.,it seems those two are made for each other .,<sos> die beiden scheinen wie fureinander gemacht .,die beiden scheinen wie fureinander gemacht . <eos>,10,8
hypnotism works.,hypnose funktioniert.,hypnotism works .,<sos> hypnose funktioniert .,hypnose funktioniert . <eos>,3,4
tom watched a cartoon with his children after dinner.,tom sah sich nach dem abendessen mit seinen kindern einen zeichentrickfilm an.,tom watched a cartoon with his children after dinner .,<sos> tom sah sich nach dem abendessen mit seinen kindern einen zeichentrickfilm an .,tom sah sich nach dem abendessen mit seinen kindern einen zeichentrickfilm an . <eos>,10,14
tom showed mary the letter he had just written.,"tom zeigte maria den brief, den er gerade geschrieben hatte.",tom showed mary the letter he had just written .,"<sos> tom zeigte maria den brief , den er gerade geschrieben hatte .","tom zeigte maria den brief , den er gerade geschrieben hatte . <eos>",10,13
tom wanted to go into politics.,tom wollte in die politik einsteigen.,tom wanted to go into politics .,<sos> tom wollte in die politik einsteigen .,tom wollte in die politik einsteigen . <eos>,7,8
did you lock your suitcase?,haben sie ihren koffer abgeschlossen?,did you lock your suitcase ?,<sos> haben sie ihren koffer abgeschlossen ?,haben sie ihren koffer abgeschlossen ? <eos>,6,7
most of the work has to be done by hand.,die arbeit muss überwiegend per hand geschehen.,most of the work has to be done by hand .,<sos> die arbeit muss uberwiegend per hand geschehen .,die arbeit muss uberwiegend per hand geschehen . <eos>,11,9
this is a very mild coffee.,dies ist ein ganz milder kaffee.,this is a very mild coffee .,<sos> dies ist ein ganz milder kaffee .,dies ist ein ganz milder kaffee . <eos>,7,8
get away!,verdufte!,get away !,<sos> verdufte !,verdufte ! <eos>,3,3
music is a universal language.,musik ist eine universalsprache.,music is a universal language .,<sos> musik ist eine universalsprache .,musik ist eine universalsprache . <eos>,6,6
